A_var,A_org_id,A_descricao,v_code,B_match_vcode,B_match_desc,C_match_vcode,C_match_desc,v050_present_pop,v050_present_hh,agreement,majority_strength
MINACION,11.50,Nacionalidade,V3151,V3151,Nacionalidade,V3151,Nacionalidade,Y,N,12/12_UNANIMOUS,HIGH
MINASCMU,11.51,Nasceu neste municipio,V0314,V0314,Nasceu neste Município,V0314,Nasceu neste Município,Y,N,12/12_UNANIMOUS,HIGH
MIUFPAIS,11.52,UF/Pais de nascimento,V0316,V0316,Unidade da Federação ou País Estrangeiro de Nascimento,V0316,Unidade da Federação ou País Estrangeiro de Nascimento,Y,N,12/12_UNANIMOUS,HIGH
MIULTMUD,11.53,Ultima mudanca,V0313,V0313,Anos de Moradia na Situação do Domicílio,V0313,Anos de Moradia na Situação do Domicílio,Y,N,12/12_UNANIMOUS,HIGH
MUNICNOM,51,Nome do municipio,(empty),,,,,N,N,12/12_UNANIMOUS,CANNOT_MAP
MUNICNUM,53,Codigo do municipio,V1102,V1102,Município,V1102,Município,Y,Y,12/12_UNANIMOUS,HIGH
NORDMAE,11.54,Numero de ordem da mae,V3005,V3005,Número de Ordem da Mãe,V3005,Número de Ordem da Mãe,Y,N,12/12_UNANIMOUS,HIGH
NUMFAM,10.2,Familia a que pertence,V0304,V0304,Tipo de Família,V0304,Tipo de Família,Y,N,12/12_UNANIMOUS,HIGH
OCUPACAO,11.55,Ocupacao principal,V0346,V0346,Código da Ocupação,V0346,Código da Ocupação,Y,N,12/12_UNANIMOUS,HIGH
OCUPAGRP,11.56,Grupo ocupacao principal,V3461,V3461,Grupo de Ocupação,V3461,Grupo de Ocupação,Y,N,12/12_UNANIMOUS,HIGH
PAREDES,9.26,Paredes,V0203,V0203,Paredes,V0203,Paredes,Y,Y,12/12_UNANIMOUS,HIGH
PARENDOM,11.57,Parentesco com o do chefe domicilio,V0302,V0302,Condição no Domicílio,V0302,Condição no Domicílio,Y,N,12/12_UNANIMOUS,HIGH
PARENFAM,11.58,Parentesco com o chefe da familia,V0303,V0303,Condição na Família,V0303,Condição na Família,Y,N,12/12_UNANIMOUS,HIGH
PESO,9.27,Peso de expansao,V7300,V7300,Peso ou Fator para Expansão da Amostra,V7300,Peso ou Fator para Expansão da Amostra,Y,Y,12/12_UNANIMOUS,HIGH
PESSOAN,11.59,Numero de ordem,V0098,V0098,Ordem da Pessoa,V0098,Ordem da Pessoa,Y,Y,12/12_UNANIMOUS,HIGH
POSOCUP,11.60,Posicao da ocupacao,V0349,V0349,Posição na Ocupação,V0349,Posição na Ocupação,Y,N,12/12_UNANIMOUS,HIGH
